star,date,info,content
평점5,23.08.04.,용량: S23울트라 512GB / 색상: 그린,"아이폰 10년 유저입니다...오로지 달 사진, 야경 막 찍어도 잘 나오는 거 같아서옮겼어요.폰이 좀 크긴하고 설정할 게 너무 많아서 귀찮지만 장점은 분명하네요. 사용자 맞춤 설정이 가능하다는 것내 손으로 달을 찍을 수 있다는 것.다만 달 사진을 타이트하게만 찍을 수 있어서 아쉬워요배경이랑 같이 찍고 싶은데 ㅜ자판 폭이 이전에 쓰던 아이폰과는 좀 달라서인지 오타가 많이 나는데 적응해야죠 뭐...색상: 그린 흔하지 않고 예쁩니당. 질리지도 않을 거 같아요. 다만 보호케이스 하고 다니면 그냥 검정 같기도 하고 티가 안 나서 ㅎㅎ 혼자 아껴두고 봅니다배송: 아주 빨랐어요. 대충 박스에 쓱 넣어주신 것에 놀라긴했는데 뭐... 괜찮았어요."
평점4,23.06.18.,용량: S23울트라 512GB / 색상: 크림,"빠른건 좋지만 충전재가 하나도 없네요. 고객센터에 전화 해도 발송을 cj에서 하기 때문에 어쩔 수 없다고 하시고ㅠ... 그럼 판매하는 입장이시니까 cj에 충전재로 포장하라고 권고사항이라도 드리려야 하는 거 아니냐고 여쭤보니 안된다고만 하시네요.. 답답합니다. 150만원이나 주고 샀는데 이런 식으로 포장 하시면 택배 배송 과정에서 충격 받고 금방 망가지지 않을까 너무 걱정됩니다ㅠ 제발 cj에 포장 가이드라인이라도 안내해주세요. 한두푼 하는 것도 아니고 이렇게 배송 오니 너무 당황스럽고, 고가제품 포장을 충전재 없이 하는 곳은 또 처음이네요. 핸드폰은 너무 좋습니다."
평점5,23.06.19.,용량: S23울트라 256GB / 색상: 크림,"배송 너무 빠르게 왔어요 핫딜 뜰 때까지 계속 기다리다가 좋은 기회인 것 같아서 바로 구매했습니다 적립 및 할인혜택 끌어모아서 결제 완료하고 크림색상 받았는데 너무 이뻐서 케이스 씌우기가 싫네요ㅠ 그치만 아껴서 또 오래써야하니까 ,,, 얼른 케이스가 와야할텐데 ㅎㅎ 여튼 잘 쓰겠습니다"
평점5,23.07.23.,용량: S23울트라 512GB / 색상: 크림,몇번 사용해봤었지만 처으 받아봤을때 생각보다 무겁다는 생각이 많이 들어서 계속 잘 쓸수 있을까 걱정했는데 익숙해지니 이제 적응됐어요이 폰을 산 목적인 카메라는 말해뭐해 진짜 미쳤구요여러모로 깔끔해서 정말 잘사용중입니다
평점5,23.09.07.,용량: S23울트라 256GB / 색상: 그린,잘보고 사야합니다 ㅜㅜ 아무생각 없이 구매했다가... 메모리 추가가 안되네요;;;;;; 용량이 부족하지 않을까 살짝 불안..... ^^;;;; 계속 블랙만 사용했었는데 그린 이뻐요!! 잘 떨어트리는 편이라 아직 케이스를 못사서.... 들고 다닐수가 없네요 ㅜㅜ배송이 정말 빨라요 밤 11시50분쯤인가? 구매했는데 다음날 11시 52분에 도착했어요 ㅋㅋ
평점5,23.06.28.,용량: S23울트라 512GB / 색상: 그린,배송 정말 빨랐어요케이스랑 필름이 안 와서 바로 사용 못 할 정도로..ㅋㅋㅋ라이브 방송 혜택으로 잘 산거 같아요~색상 고민 정말 많이 했었는데...그린색 너무너무 맘에 들어요~라이브 방송때 본 달 사진을 아직 못 찍어봤네요..다음에 보름달 일때 도전해볼게요캠핑가서 야간 모드 사용했는데.. 너무 선명하게 잘 나와요카메라 정말 완전 좋아요~
평점5,23.06.22.,용량: S23울트라 512GB / 색상: 크림,칭구랑 같이 핸드폰 오랜만에 바꿔봤어요. 라벤더 색상 사려던걸 크림색상으로 잘못 사서 크림색은 친구 쓰게 됐네요. 크림색상 이쁘네요. 오래오래 잘 써봐야겠어요.
평점5,23.06.15.,용량: S23울트라 256GB / 색상: 크림,S23울트라요즘 같은 시기 한줄기 빛과 같은 이벤트에요~가족에게 선물로 구입했는데너~무 좋아하시네요.위드모바일!감사합니다!
평점5,23.07.17.,용량: S23울트라 256GB / 색상: 팬텀블랙,너무 이뻐요!! 부모님 사드렸는데 정말 좋아하시네요 ㅎㅎ 무광이라 더 이쁜거같아요 잘 쓰겠습니다
평점5,23.06.23.,용량: S23울트라 512GB / 색상: 라벤더,오후늦게 주문했는데 다음날 받아봤네요 배송도 빨랐고 포장도 잘되서 도착했어요 보호필름이나 기타 서비스품들이 없는게 아쉽지만 저렴하게 구매했으니 만족해요~
평점5,23.09.16.,용량: S23울트라 512GB / 색상: 팬텀블랙,기능성 좋고 사진 정말 잘 찍히고 자급제로 구매해서 사용하니깐 더 좋은것 같아요.
평점4,23.06.18.,용량: S23울트라 512GB / 색상: 라벤더,색상 용량 디자인만족 했어요 갤럭시S시리즈근데 포장이너무 실망했어요뽁뽁이도 하나없이 바닥에 얇은 종이하나만 전자제품인데 포장때문에 별하나 뺍니다
평점5,23.07.24.,용량: S23울트라 512GB / 색상: 팬텀블랙,어두워도 달이떠도23울트라의 피사체는 그저밝기만합니다다른핸드폰으론 밤마다  노출부족을 걱정해야하는데23울트라는 그냥 너무나 펀 폰입니다너무좋아요
평점5,23.06.22.,용량: S23울트라 512GB / 색상: 팬텀블랙,빠르게 배송해주셔서 제주 바다에서 노을을 100배줌해서 찍을수 있었습니다 ㅎㅎㅎ정말 비싸지만 만족합니다!
평점5,23.09.11.,용량: S23울트라 512GB / 색상: 팬텀블랙,결제 하고 다음날 받아서 바로 개통 했습니다 빠른 배송 감사합니다
평점5,23.10.20.,용량: S23울트라 512GB / 색상: 라벤더,너무 마음에 듭니다핸드폰도 마음에 들고 포장도 종이포장 둘둘말아서 왔어요주소 잘못입력하는바람에 돌고돌아 받았지만 마음에 듭니다!
평점5,23.06.26.,용량: S23울트라 512GB / 색상: 팬텀블랙,감사합니다 교환절차도 친절하셨고 모든면에 만족합니다 감사합니다~!
평점5,23.09.14.,용량: S23울트라 512GB / 색상: 그린,12일 밤에 결제했는데 13일 오전에 배송됐어요 총알배송입니다~ 23년 1월 생산 제품으로 왔고 이상 없어요😀
평점4,23.06.23.,용량: S23울트라 512GB / 색상: 라벤더,휴대폰은 와이프가 맘에 들어합니다. 다만 쿠폰 오류 적용 같은데 3만원 정도 비싸게 결제 된것은 답변만 애매하고 아쉽네요
평점5,23.06.29.,용량: S23울트라 512GB / 색상: 그린,한달 고민하다가 라이브 방송 보고 구매했어요 도착보장으로 다음날 바로 받았어요^^ 혜택도 많고 잘쓰겠습니다. 충전기는 언제 주시나요?
평점5,23.07.24.,용량: S23울트라 256GB / 색상: 그린,아버지 생신 선물로 드렸는데엄청 만족하고 사용 중이세요~어머니도 욕심 내시는데다음에 또 구매할게요ㅋ
평점5,23.06.28.,용량: S23울트라 256GB / 색상: 라벤더,빠르게 잘 받았습니다!역시 라벤더가 제일 예쁜 것 같아요ㅎㅎ
평점5,23.06.29.,용량: S23울트라 512GB / 색상: 크림,갤럭시 s23 울트라 너무 좋네요!! 진작 사길 잘했습니당 ㅎㅎ
평점5,23.08.27.,용량: S23울트라 256GB / 색상: 라벤더,좋아요확실히 새 폰 좋네요.다 마음에 듭니다.
평점5,23.10.25.,용량: S23울트라 256GB / 색상: 크림,크림색상도 마음에 듭니다예뻐요
평점5,23.06.30.,용량: S23울트라 256GB / 색상: 그린,"배송 빠르고, 상품 좋네요~~라이브 구매로 조금 더 저렴하게 구매했어요~"
평점5,23.08.18.,용량: S23울트라 512GB / 색상: 크림,배송이 무척 빨라서 좋았습니다제조일도 5월달꺼라서 나름 나쁘지는 않네요잘 쓰겠습니다
평점5,23.07.02.,용량: S23울트라 512GB / 색상: 크림,잘받았읍니다 감샇바니다 크림예뻐요
평점5,23.06.27.,용량: S23울트라 256GB / 색상: 크림,제가 사고나서 할인율 더 높여서 팔더라구용 ㅜ ㅜ 인생은 타이밍인가봅니다.. 여러분들은 싸게 사세용 폰은 아주 조아욧
평점5,23.06.15.,용량: S23울트라 512GB / 색상: 크림,하루만에 배송왔어요포인트 많이 줬습니다조금 크고 무겁지만 그만큼 성능이 좋아서 감안하고 흡니다펜도 흐는 느낌이 굿이에요
평점5,23.06.30.,용량: S23울트라 256GB / 색상: 팬텀블랙,부모님 핸드폰 바꿔드리려고 알아보던 참에 라방 혜택 보고 기다렸다가 구매했어요.좋은 가격에 구매할 수 있어서 좋았습니다.
