star,date,info,content
평점5,23.08.08.,용량: S23 256GB / 색상: 크림,"금요일에 주문했고 토요일 오전에 받았습니다. 네이버 시스템상으로는 아직도 상품준비중이라고 적혀있어요.물건잘받았고요, 밖에 종이완충제가 한겹만 둘러져있어서 걱정했지만 물건에 문제는 없었습니다. 잘받았습니다. 새로사는 요즘휴대폰이었고 몇달간 고민하다가 샀는데 너무 좋아요.이하 자급제로 구매 후 할일을 적어두겠습니다. 저처럼 햇갈리시는분들을 위해.. 데이터 이동같은건 다른분이 좋은글을 많이올려주셨으니 제하겠습니다.1. 유심을 새로 꽂으면 u+기준 114에서 '유심 카드 명의 확인하기'라는 문자가 옵니다. 그 문자에 있는 링크에 들어가셔서 본인확인등을 하시면됩니다. 그래야 외부에서 데이터슬 사용할 수 있습니다.2. 확정기변이라고, 통신사에 나 휴대폰 이걸로바꿨어요 하는걸 해야하는데 보통은 통신사어플에서 할수있습니다만 안된다고 하면 신분증 챙겨서 대리점에 가세요. 잘 사용하겠습니다. 감사합니다."
평점5,23.04.09.,컬러(256GB): 256크림,"가족폰으로 교체했습니다. 노트10을 기존에 사용했는데, 노트10대비 화면 크기는 좀 줄고, 배터리, 카메라는 많이 향상되었네요. 보내주신 필름, 케이스도 주셔서, 바로 잘 사용할수 있었어요. 크림색이라 아이폰같은 느낌이고, 한손에 잡히는 그립감도 좋습니다."
평점5,23.03.17.,정보없음,"s9를 사용하다 5년만에 s23으로 바꿨는데 화면 넘김의 속도가 매우 빠르고 부드럽네요. 그리고 가장 큰 장점이라면 6.1인치 크기의 그립감과 무게, 후면의 무광이 마음에 듭니다. s9는 제가 손이 작은 편이라 그런지 한 손으로 사용할 때 불편한 느낌이 적잖게 있었고 화면 옆부분이 손바닥에 눌려서 터치가 제멋대로 되는 일이 종종 있었습니다. 게다가 빅스비 버튼이 옆에 있어서 원치 않는데 빅스비가 켜지는 경우가 종종 있어서 불편했는데 이번 s23으로 바꾸니 모든 불편점이 해소 되었네요.후면의 경우 무광처리 된 상태다 보니 고급스러움이 느껴지고 제가 손에 땀이 많은 편이라 폰을 만지다 보면 뒷면에 지문자국이 잔뜩 남았는데 s23은 지문자국이 거의 남지가 않아서 깔끔해 보입니다.다만 s9는 카메라가 튀어 나오지 않아 케이스 없이도 쓰기 좋았는데 s23은 카메라가 튀어 나와서 케이스 없이 쓰다가는 금방 망가질 거 같네요."
평점5,23.04.09.,컬러(256GB): 256크림,"컬러(256GB): 256크림가족폰으로 교체했습니다. 노트10을 기존에 사용했는데, 노트10대비 화면 크기는 좀 줄고, 배터리, 카메라는 많이 향상되었네요. 보내주신 필름, 케이스도 주셔서, 바로 잘 사용할수 있었어요. 크림색이라 아이폰같은 느낌이고, 한손에 잡히는 그립감도 좋습니다."
평점5,23.06.03.,정보없음,다음날 바로도착 총알배송이네요. 사은품 복합기도 함께 왔습니다. 아이폰 쓰다 갤럭시로 다시 왔어오. 카드할인으로 좋은가격에  구입했는데 블랙색상 무난하고 예쁩니다. 사이즈도 크지않아 휴대도 편하고 국산제품이라 사용성은 말이 필요없죠. 하이마트도 흥해라~~.
평점5,23.06.27.,용량: S23 256GB / 색상: 라벤더,"3년 쓰던 아이폰 드디어 바꿨어요! 삼성 오랜만에 사용하는데 무척 기대되네용~~여기 폰 배송이 정말 빠르네요!! 전날 밤에 주문했는데 다음날 이른 오후에 왔어요! 포장이 허술하다는 후기가 많았는데 다행히 안전히 배송되었고 작동도 잘 된답니다. 일단 요즘 폰 너무 비싼데 자급제폰 기준 쿠폰, 네이버포인트적립, 카드할인해서 나름 저렴하게 잘 구입한 것 같아요!원래 크림색 구매하고 싶었는데 구매 당시 품절이더라구요.. 그래서 라벤더 색상 구매했는데 생각보다 연한색이라서 더 마음에 들었어요! 라벤더 색상 추천!"
평점5,23.02.14.,제3자 정보제공 동의: 동의합니다 / 색상: 팬텀블랙 [ZKFKOO],생각보다 너무 마음에 들었네요~비록 ㅋ 라방에서 당첨은 안 됐지만?아쉽네요 마지막으로 다시 도전할수 있었는데 안될꺼같고 귀찮아서 그냥 첫날 구매갔어요 ㅋ아빠 선물 하려고 샀는데 제가 더 마음에 드는데요. 아이폰 쓰는데…이 사진들도 아이폰으로 찍었지만..정말 가격도 좋고 512G업그레이드에..가볍고 카툭튀도 아니라서 더 맘에 들고 여기에는 못올렸는데 멀리 있는 멍뭉이 줌해서 찍고 빵터졌어요!사진 정말 ~ 잘나옵니다요! 받자마자 팬텀 블랙보고 와~ 이뻐 했어요.아빠가 편하게 사용하실수 있게 옮기고 담고 하는데..한시간 가량 만지다 보니 너무 맘에 드는것!다음에는 저도 갈아탈까 하는 생각이 드네요.ㅠ아빠가 부디 안던지고 이쁘게 편하게 잘 쓰셨으면 좋겠어요!!!제발 ㅋ
평점4,23.06.15.,용량: S23울트라 512GB / 색상: 팬텀블랙,배송 잘 받았습니다~!스마트폰 단품만이라 구성이 살짝 아쉽긴 했어요간단한 투명 케이스 있으면 좋을 거 같습니다.가죽케이스 따로 주문했고확실히 카메라 부분이 튀어나와있어서원래 쌩폰 상태로만 쓰는데뒷면 케이스는 사야겠네요!앞으로도 좋은 행사 잘 부탁드립니다~~
평점5,23.06.15.,용량: S23 256GB / 색상: 팬텀블랙,아빠 생일 선물용으로 A34랑 고민하다가 S23으로 결국 질렀는데 너무 좋아하시네요 ☺️ 아빠가 그렇게 함박 웃음 지으시는 거 오랜만에 봐요! 티는 안내셨지만 나름 최신폰 이용해 보고 싶으셨나봐요! 배송도 빠르고 할인도 많이 받아서 저도 기분 좋네용~ 쿠폰이 늦게 떠서 블랙을 구매했지만 다른색 생각 안날 정도로 색상이 너무 새련되게 예뻐요 🥹 라이브에서 끝까지 쿠폰 챙겨줘서 판매자분께도 넘 감사합니다 ! 갤럭시 S23 고민하시지말고 얼른 구매하세요
평점5,23.10.15.,용량: S23울트라 512GB / 색상: 팬텀블랙,"갤럭시S10 3년 좀 넘게 쓰다가 갤럭시 S23울트라 바꾸게 됐습니다. 바꾸게 된 계기는 S10이 사용연식이 되다보니까 발열이 너무 심해져서 더이상 사용하기가 힘들고 밧데리 과열이 너무 심해져서 사용하기가 어려워져서 바꾸게 되었습니다.그동안 바꾸고 싶은 마음이 되게 많았는데,안 바꾼 이유는 폰 가격이 너무 비싸서 원기옥을 모으고 했었다고 해야 할까요? 어쨌든 바꾸고 나니, 이제 핸드폰 발열 걱정은 안해도 되서 기분이 좋습니다.아,참 그리고 핸드폰을 지금 기점 10월인데, 제조월이 23.08로 되어 있더라고요. 참조하세요."
