star,date,info,content
평점5,23.07.02.,용량: S23플러스 512GB / 색상: 크림,자급제는 항상 라이브방송할때 사고있어요!!S22도 잘쓰고 있었는데 esim때문레 바꾸게 되었네요~ 배송 정말 빠르고 충전기도 있어서 좋았어요!
평점5,23.06.15.,용량: S23플러스 256GB / 색상: 크림,어제 라이브 방송보고 구매하고 하루만에 받았어요 크림색상 너무 이쁘고 크기도 커서 좋네요!
평점5,23.06.18.,용량: S23플러스 256GB / 색상: 라벤더,라이브 시작하자마자 주문했는데 다음날 바로 배송됐습니다! 노트8 쓰는데 버벅거려서 S23을 사려고 했는데 라이브 시작 1시간 전에 검색하다가 우연히 알게 돼서 싸게 잘 샀습니다. 30명 당첨도 되고 S23 행운이네요~
평점5,23.06.28.,용량: S23플러스 256GB / 색상: 크림,망설이다 라이브보고 구매했어요몇년만에 핸폰 바꿨더니 완전 신세계잘쓸께요^^
평점5,23.08.09.,용량: S23플러스 256GB / 색상: 팬텀블랙,배송도증말무지빠르고 자급제처음사봤는데 이상없고 선물받으신분도 무지 좋아하셨습니다! 감사해요
평점5,23.09.20.,용량: S23플러스 256GB / 색상: 크림,박스는 찌그러져있지만 상품은 멀쩡한것같네요색상 이쁘고 좋아요
평점5,23.06.16.,용량: S23플러스 256GB / 색상: 라벤더,배송도 빠르고 하자없는 새제품으로 받아서 기분이 좋네요.
평점5,23.06.17.,용량: S23플러스 256GB / 색상: 크림,전 날 밤에 시켰는데 다음날 11시에 도착했어요!엄청 빠르네요. 상태 좋고 너무 잘 쓰고 있어요~
평점5,23.06.23.,용량: S23플러스 256GB / 색상: 팬텀블랙,부모님이 너무 만족하시네요. 잘 산거 같습니다.
평점5,23.08.17.,용량: S23플러스 256GB / 색상: 크림,전 핸드폰 5년 넘게 사용하다가S23+가 너무 예뻐서 구매했어요전날 구매 했는데 다음날 왔고기기는 이제 막 사용중인데 외관은 깔끔했어요
평점5,23.08.19.,용량: S23플러스 256GB / 색상: 크림,초기 불량 및 교환중 배송 지연 하고는 있어지만 잘해결 해주어서 지금은 잘사용하고 있습니다.또 구매 필요시 주문 하겠습니다.
평점5,23.06.15.,용량: S23플러스 512GB / 색상: 크림,배송이 정말빠르고 가격이 좋네요
평점4,23.06.25.,용량: S23플러스 512GB / 색상: 크림,배송이 엄청 빨랐어요!!예쁘네요~!
평점5,23.08.18.,용량: S23플러스 512GB / 색상: 팬텀블랙,배송 잘 받았습니다.좋아요
평점4,23.09.22.,용량: S23플러스 256GB / 색상: 팬텀블랙,배송 매우 빨라서 좋았어요
평점5,23.09.10.,용량: S23플러스 256GB / 색상: 크림,배송도 빠르고 맘에들어요
평점5,23.08.21.,용량: S23플러스 256GB / 색상: 그린,항상 잘쓰고있습니다ㅎㅎ
평점5,23.06.22.,용량: S23플러스 512GB / 색상: 그린,빠른배송에 만족합니다.
평점5,23.06.18.,용량: S23플러스 512GB / 색상: 팬텀블랙,와우 잘구매 만족합니다
평점5,23.09.02.,용량: S23플러스 512GB / 색상: 크림,빨리 배송와서 좋아요
